Campaign / Message,Subscription Topic,Day,utm_source,utm_medium,utm_campaign,utm_content,Base URL,Full URL
Day 1 Welcome SMS,Getting Started,1,customerio,sms,onboarding_day01,sms_welcome,https://www.elderella.com/welcome,"https://www.elderella.com/welcome?utm_source=customerio&utm_medium=sms&utm_campaign=onboarding_day01&utm_content=sms_welcome"
Day 1 Welcome Email - CTA,Getting Started,1,customerio,email,onboarding_day01,cta_primary,https://www.elderella.com/welcome,"https://www.elderella.com/welcome?utm_source=customerio&utm_medium=email&utm_campaign=onboarding_day01&utm_content=cta_primary"
Day 2 Calendar Sync SMS,Getting Started,2,customerio,sms,onboarding_day02,sms_calendar,elderella://settings,"elderella://settings?utm_source=customerio&utm_medium=sms&utm_campaign=onboarding_day02&utm_content=sms_calendar"
Day 2 Calendar Sync Email - CTA,Getting Started,2,customerio,email,onboarding_day02,cta_primary,https://www.elderella.com/get-started/calendar-sync,"https://www.elderella.com/get-started/calendar-sync?utm_source=customerio&utm_medium=email&utm_campaign=onboarding_day02&utm_content=cta_primary"
Day 3 Capture Tools SMS,Getting Started,3,customerio,sms,onboarding_day03,sms_capture,elderella://take-a-note,"elderella://take-a-note?utm_source=customerio&utm_medium=sms&utm_campaign=onboarding_day03&utm_content=sms_capture"
Day 3 Capture Tools Email - CTA,Getting Started,3,customerio,email,onboarding_day03,cta_primary,https://www.elderella.com/get-started/first-note,"https://www.elderella.com/get-started/first-note?utm_source=customerio&utm_medium=email&utm_campaign=onboarding_day03&utm_content=cta_primary"
Day 4 Review Queue SMS,Getting Started,4,customerio,sms,onboarding_day04,sms_review,elderella://home,"elderella://home?utm_source=customerio&utm_medium=sms&utm_campaign=onboarding_day04&utm_content=sms_review"
Day 4 Review Queue Email - CTA,Getting Started,4,customerio,email,onboarding_day04,cta_primary,https://www.elderella.com/get-started/review-queue,"https://www.elderella.com/get-started/review-queue?utm_source=customerio&utm_medium=email&utm_campaign=onboarding_day04&utm_content=cta_primary"
Day 5 Ask Ella SMS,Getting Started,5,customerio,sms,onboarding_day05,sms_ask,elderella://chat,"elderella://chat?utm_source=customerio&utm_medium=sms&utm_campaign=onboarding_day05&utm_content=sms_ask"
Day 5 Ask Ella Email - CTA,Getting Started,5,customerio,email,onboarding_day05,cta_primary,https://www.elderella.com/get-started/ask-ella,"https://www.elderella.com/get-started/ask-ella?utm_source=customerio&utm_medium=email&utm_campaign=onboarding_day05&utm_content=cta_primary"
Day 6 Care Team SMS,Getting Started,6,customerio,sms,onboarding_day06,sms_team,elderella://care-team,"elderella://care-team?utm_source=customerio&utm_medium=sms&utm_campaign=onboarding_day06&utm_content=sms_team"
Day 6 Care Team Email - CTA,Getting Started,6,customerio,email,onboarding_day06,cta_primary,https://www.elderella.com/get-started/invite-team,"https://www.elderella.com/get-started/invite-team?utm_source=customerio&utm_medium=email&utm_campaign=onboarding_day06&utm_content=cta_primary"
Day 7 Streak SMS,Getting Started,7,customerio,sms,onboarding_day07_streak,sms_streak,elderella://home,"elderella://home?utm_source=customerio&utm_medium=sms&utm_campaign=onboarding_day07_streak&utm_content=sms_streak"
Day 7 No-Streak SMS,Getting Started,7,customerio,sms,onboarding_day07_nostreak,sms_nostreak,elderella://home,"elderella://home?utm_source=customerio&utm_medium=sms&utm_campaign=onboarding_day07_nostreak&utm_content=sms_nostreak"
Day 7 Streak Email,Getting Started,7,customerio,email,onboarding_day07_streak,cta_primary,elderella://home,"elderella://home?utm_source=customerio&utm_medium=email&utm_campaign=onboarding_day07_streak&utm_content=cta_primary"
Day 7 No-Streak Email,Getting Started,7,customerio,email,onboarding_day07_nostreak,cta_primary,elderella://home,"elderella://home?utm_source=customerio&utm_medium=email&utm_campaign=onboarding_day07_nostreak&utm_content=cta_primary"
Day 8 SMS (briefing),Product Tips,8,customerio,sms,extended_day08,sms_briefing,elderella://elder-profile,"elderella://elder-profile?utm_source=customerio&utm_medium=sms&utm_campaign=extended_day08&utm_content=sms_briefing"
Day 9 SMS (lower the bar),Product Tips,9,customerio,sms,nostreak_day09,sms_reengage,elderella://chat,"elderella://chat?utm_source=customerio&utm_medium=sms&utm_campaign=nostreak_day09&utm_content=sms_reengage"
Day 10 Email (stats + briefing) - CTA,Product Tips,10,customerio,email,extended_day10,cta_primary,https://www.elderella.com/get-started/briefing,"https://www.elderella.com/get-started/briefing?utm_source=customerio&utm_medium=email&utm_campaign=extended_day10&utm_content=cta_primary"
